"Area","Section","User type","Current access","Can do now","Recommended final access","Priority","Decision / notes"
"Profiles","View profiles","All logged-in member roles","Allowed","View member profiles","Allowed for members","High",""
"Profiles","Edit own profile","All logged-in member roles","Allowed","Edit own profile details and role label","Allowed; role changes may need approval later","High",""
"Profiles","Change other profiles","Moderator","Admin-level in MVP","Admin pages may expose user controls","Should be limited to moderation-safe actions only","High",""
"Profiles","Change other profiles","Admin","Allowed through admin tools","Manage user details/roles where implemented","Allowed","High",""
"Profiles","Change other profiles","Super Admin","Allowed through admin tools","Manage user details/roles where implemented","Allowed, full authority","High",""
"Companies","View company/supplier pages","All logged-in member roles","Allowed","View company pages and follow companies","Allowed","High",""
"Companies","Manage company page","Supplier","Partially available through profile/company connection","Can be linked to company profile","Only company owners/supplier admins should manage","High",""
"Companies","Manage company page","Verified Travel Professional","Partially available if company linked","Can be linked to a company as agency owner","Only company owners should manage","High",""
"Companies","Manage company page","Recruiter","Partially available if company linked","Can be linked to recruitment company","Only company owners should manage","High",""
"Groups","View groups","All logged-in member roles","Allowed","Browse groups and open group pages","Allowed","High",""
"Groups","Create group","All logged-in member roles","Allowed","Create a new group","Maybe verified members/admins only","Medium",""
"Groups","Join group","All logged-in member roles","Allowed","Join and leave groups","Allowed","High",""
"Groups","Post in group","Joined members","Allowed","Post in groups they have joined","Allowed","High",""
"Groups","Moderate group","Group owner/moderator fields exist","Basic ownership stored, detailed moderation not complete","Group owner/moderator tools needed later","Medium",""
"Jobs","View jobs","All logged-in member roles","Allowed","View job board and job details","Allowed","High",""
"Jobs","Bookmark/register interest","All logged-in member roles","Allowed","Bookmark jobs and register interest","Allowed","High",""
"Jobs","Post job","All logged-in member roles","Allowed","Create job posts","Restrict to Recruiter, Supplier, company owner, Admin","High",""
"Jobs","Manage all jobs","Admin roles","Admin pages exist","Admin oversight of jobs","Admin/Super Admin; maybe Moderator for content safety only","High",""
"Events","View events","All logged-in member roles","Allowed","View events and event details","Allowed","High",""
"Events","Register interest","All logged-in member roles","Allowed","Register/cancel event interest","Allowed","High",""
"Events","Create event","All logged-in member roles","Allowed","Create events","Restrict to Supplier, Trainer, Recruiter, company owner, Admin","Medium",""
"News","View news","All logged-in member roles","Allowed","View news and supplier updates","Allowed","High",""
"News","Create article","All logged-in member roles","Allowed","Create articles from create form","Restrict to Admin, Supplier, approved editor/content roles","High",""
"News","Supplier updates","Supplier","Allowed as normal member currently","Can create article/update if using create form","Restrict supplier updates to Supplier/Admin/company owner","High",""
"Training","View courses","All logged-in member roles","Allowed","View courses and lessons","Allowed","High",""
"Training","Enrol/progress","All logged-in member roles","Allowed","Enrol and track lesson progress","Allowed","High",""
"Training","Create/manage courses","Trainer","Not role-specific yet","Trainer role exists but management permissions not separate","Restrict to Trainer, Supplier training team, Admin","Medium",""
"Support","View Q&A","All logged-in member roles","Allowed","View questions and answers","Allowed","High",""
"Support","Ask question","All logged-in member roles","Allowed","Ask support questions","Allowed","High",""
"Support","Answer/vote","All logged-in member roles","Allowed","Answer questions and vote helpful/upvote","Allowed","High",""
"Support","Moderate support","Admin roles","Admin/reporting tools exist","Moderate content through admin/report flow","Moderator/Admin/Super Admin","High",""
"Messages","View messages","All logged-in member roles","Allowed","View conversations","Allowed","High",""
"Messages","Send message","All logged-in member roles","Allowed","Start conversations and send direct messages","Allowed, with anti-spam controls later","Medium",""
"Notifications","View notifications","All logged-in member roles","Allowed","View personal notification list","Allowed","High",""
"Billing","View billing","All logged-in member roles","Allowed","View billing/subscription screens and Stripe placeholders","Allowed for own account","High",""
"Billing","Manage platform plans","Admin/Super Admin","Not fully separated","Plan/payment config mostly environment driven","Super Admin only later","High",""
"Advertising","View advert manager","Admin roles only in current manager","Advert manager requires admin role","Advertisers should manage only their own campaigns later","High",""
"Advertising","Manage all adverts","Admin roles","Allowed for admin role in advert manager","Admin/Super Admin","High",""
"Advertising","Manage own campaigns","Advertiser","Not implemented separately","Advertiser role exists but cannot manage own campaigns without admin","Advertiser should manage own campaigns only","High",""
"Admin","Admin dashboard","Moderator","Allowed","Can access admin pages in MVP","Limit to moderation/report tools later","High",""
"Admin","Admin dashboard","Admin","Allowed","Can access admin pages","Allowed","High",""
"Admin","Admin dashboard","Super Admin","Allowed","Can access admin pages","Allowed with full owner controls","High",""
"Admin","Launch signups","Moderator/Admin/Super Admin","Allowed","View/manage launch signup records","Probably Admin/Super Admin only, maybe Moderator read-only","Medium",""
"Admin","Analytics","Moderator/Admin/Super Admin","Allowed","View analytics dashboard","Admin/Super Admin; maybe Moderator read-only","Medium",""
"Admin","Production readiness","Moderator/Admin/Super Admin","Allowed","View readiness checklist","Admin/Super Admin","Medium",""
"Admin","Deployment","Moderator/Admin/Super Admin","Allowed","View deployment guide","Super Admin/Admin only","High",""
"Admin","Users","Moderator/Admin/Super Admin","Allowed","View/manage users where implemented","Admin/Super Admin; Moderator limited","High",""
"Admin","Posts","Moderator/Admin/Super Admin","Allowed","Review post-related admin/moderation views","Moderator/Admin/Super Admin","High",""
"Admin","Reports","Moderator/Admin/Super Admin","Allowed","Review moderation reports","Moderator/Admin/Super Admin","High",""
"Admin","Verification","Moderator/Admin/Super Admin","Allowed","Review verification requests","Admin/Super Admin, maybe Moderator review only","High",""
"Admin","Jobs","Moderator/Admin/Super Admin","Allowed","Admin job oversight","Admin/Super Admin; Moderator content safety only","Medium",""
"Admin","Articles","Moderator/Admin/Super Admin","Allowed","Admin article oversight","Admin/Super Admin; Moderator content safety only","Medium",""
"Future role","Business owner","Not separate role","Currently represented by a user linked to a company","Add company owner permission model","High",""
"Future role","Student/new entrant","Launch interest only","Can select student as launch signup interest","Decide whether to add formal account role","Low",""
"Future control","Verification tiers","Partially available","Badges/tier fields exist","Use verification to unlock trust-based permissions","Medium",""
